,Label,Link,FreqCount,Words
0,'Bicycle', 'https://www.alibaba.com/showroom/bicycle-making-machine.html', 164," ""'system'- 'machine'- 'technology'- 'auto'- 'engineering'- 'supplier auto'- 'computer'- 'rubber powder auto'- 'height auto'- 'tags auto'- 'hot auto'- 'engine'- 'car'"""
1,'Vehicle', 'https://en.wikipedia.org/wiki/Emergency_vehicle_equipment', 22," ""'system'- 'technology'- 'computer'- 'package'- 'dependent technology'- 'lightbar car'- 'light car'- 'colour scheme'- 'organisation'- 'type organization'- 'engine'- 'car'- 'organization'"""
2,'Bicycle', 'http://www.shuztung.com/bicycle-machinery/bicycle-equipment.html', 4," ""'auto'- 'machinery auto'"""
3,'Sports equipment', 'https://en.wikipedia.org/wiki/Sports_equipment', 4," ""'system'- 'different type net'- 'organization'- 'engineering'"""
4,'Bicycle', 'https://www.welovecycling.com/wide/2017/02/23/dont-want-bike-stolen-get-gps-tracker-late/', 5," ""'system'- 'computer'"""
5,'Bicycle', 'https://en.wikipedia.org/wiki/List_of_bicycle_parts', 9," ""'system'- 'computer'- 'machine'- 'engineering'- 'complete system'- 'electronic system'- 'organization'"""
6,'Sports equipment', 'https://www.amazon.in/Printfidaa-Assorted-Equipment-Including-Basketball/dp/B07MRDH2W8', 0, ''
7,'Bicycle', 'https://www.indiamart.com/sherin-engineering-services/bicycle-tools-machines.html', 7," ""'machine'- 'engineering'"""
8,'Bicycle', 'https://www.forbes.com/sites/leebelltech/2017/11/07/best-bike-tech-2017-updated-pick-of-the-top-cycling-gadgets-for-the-summer/', 55," ""'system'- 'computer'- 'technology'- 'light system'- 'q q internet'- 'smart technology'- 'q environmental technology'- 'car'"""
9,'Vehicle', 'https://en.wikipedia.org/wiki/Automotive_electronics#Electronic_Integrated_Cockpit_systems', 56," ""'software'- 'system'- 'computer'- 'powerful computer'- 'hybrid system'- 'many engine'- 'auto'- 'total car'- 'automobile'- 'tube car'- 'november auto'- 'modern car'- 'hardware'- 'infotainment system'- 'automobile german general automobile'- 'lane assist system'- 'type organization'- 'engine'- 'car'- 'organization'"""
10,'Vehicle', 'https://www.entrepreneur.com/article/284089', 19," ""'auto'- 'technology'- 'limited net income'- 'machine'- 'automobile'- 'sure new car'- 'show net income'- 'car'- 'new car'"""
11,'Sports equipment', 'https://www.planetanalog.com/author.asp?section_id=3292&doc_id=564231', 2," ""'electronic technology'- 'height auto'"""
12,'Vehicle', 'https://en.wikipedia.org/wiki/Automotive_safety', 96," ""'auto'- 'skeletal system'- 'institutional car'- 'engineering'- 'smart car'- 'crown imperial first car'- 'automobile'- 'nevertheless auto'- 'airbag system'- 'japanese automotive technology'- 'engine'- 'precrash system'- 'automobile design'- 'system'- 'european new car'- 'japanese car'- 'fatal car'- 'autonomous car'- 'unattended parked car'- 'brake system'- 'advancing auto'- 'available car'- 'new car'- 'technology'- 'internet'- 'wayback machine'- 'first auto'- 'first car'- 'car'- 'assist system'- 'organization'- 'scheme'- 'critical system'- 'package'- 'infant car'- 'independent organization'- 'contact exist car'"""
13,'Bicycle', 'https://shuztung.en.taiwantrade.com/product-list/bicycle-manufacturing-equipment-144917.html', 15," ""'auto'- 'keyword auto'- 'semi auto'- 'machine'- 'model auto'"""
14,'Vehicle', 'https://en.wikipedia.org/wiki/Vehicle', 51," ""'chemical electrical energy'- 'system'- 'machine'- 'electrical energy'- 'technology'- 'scheme'- 'essential european car'- 'organization'- 'special arrangement'- 'automobile'- 'lifecycle electric car'- 'additional hardware'- 'pneumatic engine'- 'advent modern technology'- 'mobile machine'- 'similar system'- 'engine'- 'ancient technology'- 'car'- 'electricity'"""
15,'Vehicle', 'https://en.wikipedia.org/wiki/Cultipacker', 1," ""'organization'"""
16,'Bicycle', 'https://www.amazon.in/Cycling/b?ie=UTF8&node=3403629031', 0, ''
17,'Bicycle', 'https://www.welovecycling.com/wide/2017/03/13/three-electronic-devices-help-track-stolen-bike/', 1," ""'gps system'"""
18,'Bicycle', 'http://www.walkandrollpeel.ca/cycling/equipment.htm', 3," ""'system'- 'car'"""
19,'Vehicle', 'https://en.wikipedia.org/wiki/Cultivator', 11," ""'engine'- 'howard auto'- 'machine'- 'organization'- 'austral auto'"""
20,'Bicycle', 'http://www.visualdictionaryonline.com/transport-machinery/road-transport/bicycle/parts-bicycle.php', 0, ''
21,'Vehicle', 'https://en.wikipedia.org/wiki/Tractor', 98," ""'engineering'- 'indirect computer'- 'automobile'- 'automobile truck'- 'robinson engine'- 'engine'- 'alternative machine'- 'locomotive work'- 'suitable engineering'- 'system'- 'machine'- 'arrangement'- 'used stationary engine'- 'kingdom engine'- 'technology'- 'wayback machine'- 'useful common urban engineering'- 'original engine'- 'swedish organization'- 'car'- 'organization'- 'package'- 'slow engine'- 'hardware'- 'center engine'- 'portable engine'- 'similar car'- 'separate engine'"""
22,'Sports equipment', 'https://www.indiamart.com/totalsports-fitness-mumbai/racquet-sports-equipments.html', 0, ''
23,'Vehicle', 'https://en.wikipedia.org/wiki/Automotive_electronics#Types', 56," ""'software'- 'system'- 'computer'- 'powerful computer'- 'hybrid system'- 'many engine'- 'auto'- 'total car'- 'automobile'- 'tube car'- 'november auto'- 'modern car'- 'hardware'- 'infotainment system'- 'automobile german general automobile'- 'lane assist system'- 'type organization'- 'engine'- 'car'- 'organization'"""
24,'Vehicle', 'https://en.wikipedia.org/wiki/Automotive_electronics', 56," ""'software'- 'system'- 'computer'- 'powerful computer'- 'hybrid system'- 'many engine'- 'auto'- 'total car'- 'automobile'- 'tube car'- 'november auto'- 'modern car'- 'hardware'- 'infotainment system'- 'automobile german general automobile'- 'lane assist system'- 'type organization'- 'engine'- 'car'- 'organization'"""
25,'Vehicle', 'https://en.wikipedia.org/wiki/List_of_agricultural_machinery', 19," ""'system'- 'machine'- 'agricultural engine'- 'conventional arrangement'- 'type organization'- 'engine'- 'portable engine'- 'organization'"""
26,'Vehicle', 'https://en.wikipedia.org/wiki/Seed_drill', 10," ""'arrangement'- 'technology'- 'machine'- 'system'- 'organization'- 'david american system'"""
27,'Vehicle', 'https://www.denso-ten.com/business/automotive/', 4," ""'technology'- 'car'"""
28,'Vehicle', 'https://en.wikipedia.org/wiki/Automotive_electronics#Engine_electronics', 56," ""'software'- 'system'- 'computer'- 'powerful computer'- 'hybrid system'- 'many engine'- 'auto'- 'total car'- 'automobile'- 'tube car'- 'november auto'- 'modern car'- 'hardware'- 'infotainment system'- 'automobile german general automobile'- 'lane assist system'- 'type organization'- 'engine'- 'car'- 'organization'"""
29,'Sports equipment', 'https://www.scientific.net/AMM.484-485.524', 25," ""'electronic technology'- 'system'- 'technology'- 'computer'- 'electric technology'- 'new high technology'- 'third computer'- 'innovative engineering'- 'light machine'- 'intelligent electronic engineering'- 'organization'"""
30,'Bicycle', 'http://www.bikeandsaddle.com/about-us/equipment/', 0, ''
31,'Sports equipment', 'https://en.wikipedia.org/wiki/Sports_equipment#Player_equipment', 4," ""'system'- 'different type net'- 'organization'- 'engineering'"""
32,'Sports equipment', 'https://www.worldofchemicals.com/446/chemistry-articles/chemical-makeup-of-sports-equipments.html', 5," ""'package'- 'auto'- 'mechanical engineering'- 'engineering'- 'width auto'"""
33,'Bicycle', 'https://www.amazon.com/cycling-electronics/b?ie=UTF8&node=5393951011', 0, ''
34,'Vehicle', 'https://www.macmillandictionary.com/thesaurus-category/british/equipment-and-systems-in-cars-and-other-road-vehicles', 52," ""'drive noun system'- 'system'- 'electricity spark'- 'machine'- 'gears car'- 'belt car'- 'easy turn car'- 'noun system'- 'noun electronic system'- 'engine'- 'car'"""
35,'Sports equipment', 'https://en.wikipedia.org/wiki/Sports_equipment#Game_equipment', 4," ""'system'- 'different type net'- 'organization'- 'engineering'"""
